,Country,start_date,pre_date,b7_truth,start_truth,pre_cases
0,Afghanistan,2020-09-02,2020-09-09,38113,38243,38373
1,Albania,2020-09-02,2020-09-09,8927,9728,10529
2,Algeria,2020-09-02,2020-09-09,42619,45158,47697
3,Andorra,2020-09-02,2020-09-09,1098,1199,1300
4,Angola,2020-09-02,2020-09-09,2332,2777,3222
5,Antigua and Barbuda,2020-09-02,2020-09-09,94,94,94
6,Argentina,2020-09-02,2020-09-09,370188,439172,508156
7,Armenia,2020-09-02,2020-09-09,43067,44075,45083
8,Australia,2020-09-02,2020-09-09,25322,26049,26776
9,Austria,2020-09-02,2020-09-09,26033,27969,29905
10,Azerbaijan,2020-09-02,2020-09-09,35707,36732,37757
11,Bahamas,2020-09-02,2020-09-09,1765,2337,2909
12,Bahrain,2020-09-02,2020-09-09,50393,52807,55221
13,Bangladesh,2020-09-02,2020-09-09,302147,317528,332909
14,Barbados,2020-09-02,2020-09-09,165,176,187
15,Belarus,2020-09-02,2020-09-09,70974,72141,73308
16,Belgium,2020-09-02,2020-09-09,83030,85911,88792
17,Benin,2020-09-02,2020-09-09,2145,2194,2243
18,Bhutan,2020-09-02,2020-09-09,173,227,281
19,Bolivia,2020-09-02,2020-09-09,112094,117928,123762
20,Bosnia and Herzegovina,2020-09-02,2020-09-09,18609,20517,22425
21,Brazil,2020-09-02,2020-09-09,3717156,3997865,4278574
22,Brunei,2020-09-02,2020-09-09,144,144,144
23,Bulgaria,2020-09-02,2020-09-09,15751,16617,17483
24,Burkina Faso,2020-09-02,2020-09-09,1352,1370,1388
25,Cabo Verde,2020-09-02,2020-09-09,3630,4048,4466
26,Cambodia,2020-09-02,2020-09-09,273,274,275
27,Cameroon,2020-09-02,2020-09-09,18973,19460,19947
28,Canada,2020-09-02,2020-09-09,128380,131941,135502
29,Central African Republic,2020-09-02,2020-09-09,4698,4712,4726
30,Chad,2020-09-02,2020-09-09,998,1017,1036
31,Chile,2020-09-02,2020-09-09,402365,414739,427113
32,China,2020-09-02,2020-09-09,89784,89953,90122
33,Colombia,2020-09-02,2020-09-09,572243,633321,694399
34,Congo (Brazzaville),2020-09-02,2020-09-09,3979,4628,5277
35,Congo (Kinshasa),2020-09-02,2020-09-09,9912,10114,10316
36,Costa Rica,2020-09-02,2020-09-09,36307,43305,50303
37,Cote d'Ivoire,2020-09-02,2020-09-09,17603,18161,18719
38,Croatia,2020-09-02,2020-09-09,8888,10725,12562
39,Diamond Princess,2020-09-02,2020-09-09,712,712,712
40,Cuba,2020-09-02,2020-09-09,3759,4126,4493
41,Cyprus,2020-09-02,2020-09-09,1484,1495,1506
42,Czechia,2020-09-02,2020-09-09,22951,25773,28595
43,Denmark,2020-09-02,2020-09-09,16962,17620,18278
44,Djibouti,2020-09-02,2020-09-09,5383,5387,5391
45,Dominican Republic,2020-09-02,2020-09-09,92557,95627,98697
46,Ecuador,2020-09-02,2020-09-09,110549,115457,120365
47,Egypt,2020-09-02,2020-09-09,97825,99280,100735
48,El Salvador,2020-09-02,2020-09-09,25140,25904,26668
49,Equatorial Guinea,2020-09-02,2020-09-09,4928,4965,5002
