,Country,start_date,pre_date,b7_truth,start_truth,pre_deaths
0,Afghanistan,2021-02-11,2021-02-18,2407,2419,2431
1,Albania,2021-02-11,2021-02-18,1418,1517,1616
2,Algeria,2021-02-11,2021-02-18,2904,2930,2956
3,Andorra,2021-02-11,2021-02-18,103,106,109
4,Angola,2021-02-11,2021-02-18,473,487,501
5,Antigua and Barbuda,2021-02-11,2021-02-18,7,9,11
6,Argentina,2021-02-11,2021-02-18,48700,49874,51048
7,Armenia,2021-02-11,2021-02-18,3107,3135,3163
8,Australia,2021-02-11,2021-02-18,909,909,909
9,Austria,2021-02-11,2021-02-18,7936,8138,8340
10,Azerbaijan,2021-02-11,2021-02-18,3148,3170,3192
11,Bahamas,2021-02-11,2021-02-18,176,178,180
12,Bahrain,2021-02-11,2021-02-18,377,393,409
13,Bangladesh,2021-02-11,2021-02-18,8175,8248,8321
14,Barbados,2021-02-11,2021-02-18,15,20,25
15,Belarus,2021-02-11,2021-02-18,1755,1820,1885
16,Belgium,2021-02-11,2021-02-18,21260,21551,21842
17,Benin,2021-02-11,2021-02-18,54,56,58
18,Bhutan,2021-02-11,2021-02-18,1,1,1
19,Bolivia,2021-02-11,2021-02-18,10633,11044,11455
20,Bosnia and Herzegovina,2021-02-11,2021-02-18,4745,4868,4991
21,Brazil,2021-02-11,2021-02-18,228795,236201,243607
22,Brunei,2021-02-11,2021-02-18,3,3,3
23,Bulgaria,2021-02-11,2021-02-18,9272,9561,9850
24,Burkina Faso,2021-02-11,2021-02-18,132,134,136
25,Cabo Verde,2021-02-11,2021-02-18,135,138,141
26,Cambodia,2021-02-11,2021-02-18,0,0,0
27,Cameroon,2021-02-11,2021-02-18,474,474,474
28,Canada,2021-02-11,2021-02-18,20486,21089,21692
29,Central African Republic,2021-02-11,2021-02-18,63,63,63
30,Chad,2021-02-11,2021-02-18,121,126,131
31,Chile,2021-02-11,2021-02-18,18731,19262,19793
32,China,2021-02-11,2021-02-18,4822,4827,4832
33,Colombia,2021-02-11,2021-02-18,55131,56983,58835
34,Congo (Brazzaville),2021-02-11,2021-02-18,122,122,122
35,Congo (Kinshasa),2021-02-11,2021-02-18,678,686,694
36,Costa Rica,2021-02-11,2021-02-18,2662,2710,2758
37,Cote d'Ivoire,2021-02-11,2021-02-18,158,171,184
38,Croatia,2021-02-11,2021-02-18,5106,5263,5420
39,Diamond Princess,2021-02-11,2021-02-18,13,13,13
40,Cuba,2021-02-11,2021-02-18,225,253,281
41,Cyprus,2021-02-11,2021-02-18,208,218,228
42,Czechia,2021-02-11,2021-02-18,16826,17772,18718
43,Denmark,2021-02-11,2021-02-18,2185,2270,2355
44,Djibouti,2021-02-11,2021-02-18,63,63,63
45,Dominican Republic,2021-02-11,2021-02-18,2747,2904,3061
46,Ecuador,2021-02-11,2021-02-18,14968,15174,15380
47,Egypt,2021-02-11,2021-02-18,9512,9857,10202
48,El Salvador,2021-02-11,2021-02-18,1653,1719,1785
49,Equatorial Guinea,2021-02-11,2021-02-18,86,87,88
50,Eritrea,2021-02-11,2021-02-18,7,7,7
51,Estonia,2021-02-11,2021-02-18,443,480,517
52,Eswatini,2021-02-11,2021-02-18,591,619,647
53,Ethiopia,2021-02-11,2021-02-18,2126,2171,2216
54,Fiji,2021-02-11,2021-02-18,2,2,2
